seqnames	start	stop	strand
17	7676271	7676272	-
17	7676270	7676271	-
17	7676269	7676270	-
17	7676268	7676269	-
17	7676267	7676268	-
17	7676266	7676267	-
17	7676265	7676266	-
17	7676264	7676265	-
17	7676263	7676264	-
17	7676262	7676263	-
17	7676261	7676262	-
17	7676260	7676261	-
17	7676259	7676260	-
17	7676258	7676259	-
17	7676257	7676258	-
17	7676256	7676257	-
17	7676255	7676256	-
17	7676254	7676255	-
17	7676253	7676254	-
17	7676252	7676253	-
17	7676251	7676252	-
17	7676250	7676251	-
17	7676249	7676250	-
17	7676248	7676249	-
17	7676247	7676248	-
17	7676246	7676247	-
17	7676245	7676246	-
17	7676244	7676245	-
17	7676243	7676244	-
17	7676242	7676243	-
17	7676241	7676242	-
17	7676240	7676241	-
17	7676239	7676240	-
17	7676238	7676239	-
17	7676237	7676238	-
17	7676236	7676237	-
17	7676235	7676236	-
17	7676234	7676235	-
17	7676233	7676234	-
17	7676232	7676233	-
17	7676231	7676232	-
17	7676230	7676231	-
17	7676229	7676230	-
17	7676228	7676229	-
17	7676227	7676228	-
17	7676226	7676227	-
17	7676225	7676226	-
17	7676224	7676225	-
17	7676223	7676224	-
17	7676222	7676223	-
17	7676221	7676222	-
17	7676220	7676221	-
17	7676219	7676220	-
17	7676218	7676219	-
17	7676217	7676218	-
17	7676216	7676217	-
17	7676215	7676216	-
17	7676214	7676215	-
17	7676213	7676214	-
17	7676212	7676213	-
17	7676211	7676212	-
17	7676210	7676211	-
17	7676209	7676210	-
17	7676208	7676209	-
17	7676207	7676208	-
17	7676206	7676207	-
17	7676205	7676206	-
17	7676204	7676205	-
17	7676203	7676204	-
17	7676202	7676203	-
17	7676201	7676202	-
17	7676200	7676201	-
17	7676199	7676200	-
17	7676198	7676199	-
17	7676197	7676198	-
17	7676196	7676197	-
17	7676195	7676196	-
17	7676194	7676195	-
17	7676193	7676194	-
17	7676192	7676193	-
17	7676191	7676192	-
17	7676190	7676191	-
17	7676189	7676190	-
17	7676188	7676189	-
17	7676187	7676188	-
17	7676186	7676187	-
17	7676185	7676186	-
17	7676184	7676185	-
17	7676183	7676184	-
17	7676182	7676183	-
17	7676181	7676182	-
17	7676180	7676181	-
17	7676179	7676180	-
17	7676178	7676179	-
17	7676177	7676178	-
17	7676176	7676177	-
17	7676175	7676176	-
17	7676174	7676175	-
17	7676173	7676174	-
17	7676172	7676173	-
17	7676171	7676172	-
17	7676170	7676171	-
17	7676169	7676170	-
17	7676168	7676169	-
17	7676167	7676168	-
17	7676166	7676167	-
17	7676165	7676166	-
17	7676164	7676165	-
17	7676163	7676164	-
17	7676162	7676163	-
17	7676161	7676162	-
17	7676160	7676161	-
17	7676159	7676160	-
17	7676158	7676159	-
17	7676157	7676158	-
17	7676156	7676157	-
17	7676155	7676156	-
17	7676154	7676155	-
17	7676153	7676154	-
17	7676152	7676153	-
17	7676151	7676152	-
17	7676150	7676151	-
17	7676149	7676150	-
17	7676148	7676149	-
17	7676147	7676148	-
17	7676146	7676147	-
17	7676145	7676146	-
17	7676144	7676145	-
17	7676143	7676144	-
17	7676142	7676143	-
17	7676141	7676142	-
17	7676140	7676141	-
17	7676139	7676140	-
17	7676138	7676139	-
17	7676137	7676138	-
17	7676136	7676137	-
17	7676135	7676136	-
17	7676134	7676135	-
17	7676133	7676134	-
17	7676132	7676133	-
17	7676131	7676132	-
17	7676130	7676131	-
17	7676129	7676130	-
17	7676128	7676129	-
17	7676127	7676128	-
17	7676126	7676127	-
17	7676125	7676126	-
17	7676124	7676125	-
17	7676123	7676124	-
17	7676122	7676123	-
17	7676121	7676122	-
17	7676120	7676121	-
17	7676119	7676120	-
17	7676118	7676119	-
17	7676117	7676118	-
17	7676116	7676117	-
17	7676115	7676116	-
17	7676114	7676115	-
17	7676113	7676114	-
17	7676112	7676113	-
17	7676111	7676112	-
17	7676110	7676111	-
17	7676109	7676110	-
17	7676108	7676109	-
17	7676107	7676108	-
17	7676106	7676107	-
17	7676105	7676106	-
17	7676104	7676105	-
17	7676103	7676104	-
17	7676102	7676103	-
17	7676101	7676102	-
17	7676100	7676101	-
17	7676099	7676100	-
17	7676098	7676099	-
17	7676097	7676098	-
17	7676096	7676097	-
17	7676095	7676096	-
17	7676094	7676095	-
17	7676093	7676094	-
17	7676092	7676093	-
17	7676091	7676092	-
17	7676090	7676091	-
17	7676089	7676090	-
17	7676088	7676089	-
17	7676087	7676088	-
17	7676086	7676087	-
17	7676085	7676086	-
17	7676084	7676085	-
17	7676083	7676084	-
17	7676082	7676083	-
17	7676081	7676082	-
17	7676080	7676081	-
17	7676079	7676080	-
17	7676078	7676079	-
17	7676077	7676078	-
17	7676076	7676077	-
17	7676075	7676076	-
17	7676074	7676075	-
17	7676073	7676074	-
17	7676072	7676073	-
17	7676071	7676072	-
17	7676070	7676071	-
17	7676069	7676070	-
17	7676068	7676069	-
17	7676067	7676068	-
17	7676066	7676067	-
17	7676065	7676066	-
17	7676064	7676065	-
17	7676063	7676064	-
17	7676062	7676063	-
17	7676061	7676062	-
17	7676060	7676061	-
17	7676059	7676060	-
17	7676058	7676059	-
17	7676057	7676058	-
17	7676056	7676057	-
17	7676055	7676056	-
17	7676054	7676055	-
17	7676053	7676054	-
17	7676052	7676053	-
17	7676051	7676052	-
17	7676050	7676051	-
17	7676049	7676050	-
17	7676048	7676049	-
17	7676047	7676048	-
17	7676046	7676047	-
17	7676045	7676046	-
17	7676044	7676045	-
17	7676043	7676044	-
17	7676042	7676043	-
17	7676041	7676042	-
17	7676040	7676041	-
17	7676039	7676040	-
17	7676038	7676039	-
17	7676037	7676038	-
17	7676036	7676037	-
17	7676035	7676036	-
17	7676034	7676035	-
17	7676033	7676034	-
17	7676032	7676033	-
17	7676031	7676032	-
17	7676030	7676031	-
17	7676029	7676030	-
17	7676028	7676029	-
17	7676027	7676028	-
17	7676026	7676027	-
17	7676025	7676026	-
17	7676024	7676025	-
17	7676023	7676024	-
17	7676022	7676023	-
17	7676021	7676022	-
17	7676020	7676021	-
17	7676019	7676020	-
17	7676018	7676019	-
17	7676017	7676018	-
17	7676016	7676017	-
17	7676015	7676016	-
17	7676014	7676015	-
17	7676013	7676014	-
17	7676012	7676013	-
17	7676011	7676012	-
17	7676010	7676011	-
17	7676009	7676010	-
17	7676008	7676009	-
17	7676007	7676008	-
17	7676006	7676007	-
17	7676005	7676006	-
17	7676004	7676005	-
17	7676003	7676004	-
17	7676002	7676003	-
17	7676001	7676002	-
17	7676000	7676001	-
17	7675999	7676000	-
17	7675998	7675999	-
17	7675997	7675998	-
17	7675996	7675997	-
17	7675995	7675996	-
17	7675994	7675995	-
17	7675993	7675994	-
17	7675235	7675236	-
17	7675234	7675235	-
17	7675233	7675234	-
17	7675232	7675233	-
17	7675231	7675232	-
17	7675230	7675231	-
17	7675229	7675230	-
17	7675228	7675229	-
17	7675227	7675228	-
17	7675226	7675227	-
17	7675225	7675226	-
17	7675224	7675225	-
17	7675223	7675224	-
17	7675222	7675223	-
17	7675221	7675222	-
17	7675220	7675221	-
17	7675219	7675220	-
17	7675218	7675219	-
17	7675217	7675218	-
17	7675216	7675217	-
17	7675215	7675216	-
17	7675214	7675215	-
17	7675213	7675214	-
17	7675212	7675213	-
17	7675211	7675212	-
17	7675210	7675211	-
17	7675209	7675210	-
17	7675208	7675209	-
17	7675207	7675208	-
17	7675206	7675207	-
17	7675205	7675206	-
17	7675204	7675205	-
17	7675203	7675204	-
17	7675202	7675203	-
17	7675201	7675202	-
17	7675200	7675201	-
17	7675199	7675200	-
17	7675198	7675199	-
17	7675197	7675198	-
17	7675196	7675197	-
17	7675195	7675196	-
17	7675194	7675195	-
17	7675193	7675194	-
17	7675192	7675193	-
17	7675191	7675192	-
17	7675190	7675191	-
17	7675189	7675190	-
17	7675188	7675189	-
17	7675187	7675188	-
17	7675186	7675187	-
17	7675185	7675186	-
17	7675184	7675185	-
17	7675183	7675184	-
17	7675182	7675183	-
17	7675181	7675182	-
17	7675180	7675181	-
17	7675179	7675180	-
17	7675178	7675179	-
17	7675177	7675178	-
17	7675176	7675177	-
17	7675175	7675176	-
17	7675174	7675175	-
17	7675173	7675174	-
17	7675172	7675173	-
17	7675171	7675172	-
17	7675170	7675171	-
17	7675169	7675170	-
17	7675168	7675169	-
17	7675167	7675168	-
17	7675166	7675167	-
17	7675165	7675166	-
17	7675164	7675165	-
17	7675163	7675164	-
17	7675162	7675163	-
17	7675161	7675162	-
17	7675160	7675161	-
17	7675159	7675160	-
17	7675158	7675159	-
17	7675157	7675158	-
17	7675156	7675157	-
17	7675155	7675156	-
17	7675154	7675155	-
17	7675153	7675154	-
17	7675152	7675153	-
17	7675151	7675152	-
17	7675150	7675151	-
17	7675149	7675150	-
17	7675148	7675149	-
17	7675147	7675148	-
17	7675146	7675147	-
17	7675145	7675146	-
17	7675144	7675145	-
17	7675143	7675144	-
17	7675142	7675143	-
17	7675141	7675142	-
17	7675140	7675141	-
17	7675139	7675140	-
17	7675138	7675139	-
17	7675137	7675138	-
17	7675136	7675137	-
17	7675135	7675136	-
17	7675134	7675135	-
17	7675133	7675134	-
17	7675132	7675133	-
17	7675131	7675132	-
17	7675130	7675131	-
17	7675129	7675130	-
17	7675128	7675129	-
17	7675127	7675128	-
17	7675126	7675127	-
17	7675125	7675126	-
17	7675124	7675125	-
17	7675123	7675124	-
17	7675122	7675123	-
17	7675121	7675122	-
17	7675120	7675121	-
17	7675119	7675120	-
17	7675118	7675119	-
17	7675117	7675118	-
17	7675116	7675117	-
17	7675115	7675116	-
17	7675114	7675115	-
17	7675113	7675114	-
17	7675112	7675113	-
17	7675111	7675112	-
17	7675110	7675111	-
17	7675109	7675110	-
17	7675108	7675109	-
17	7675107	7675108	-
17	7675106	7675107	-
17	7675105	7675106	-
17	7675104	7675105	-
17	7675103	7675104	-
17	7675102	7675103	-
17	7675101	7675102	-
17	7675100	7675101	-
17	7675099	7675100	-
17	7675098	7675099	-
17	7675097	7675098	-
17	7675096	7675097	-
17	7675095	7675096	-
17	7675094	7675095	-
17	7675093	7675094	-
17	7675092	7675093	-
17	7675091	7675092	-
17	7675090	7675091	-
17	7675089	7675090	-
17	7675088	7675089	-
17	7675087	7675088	-
17	7675086	7675087	-
17	7675085	7675086	-
17	7675084	7675085	-
17	7675083	7675084	-
17	7675082	7675083	-
17	7675081	7675082	-
17	7675080	7675081	-
17	7675079	7675080	-
17	7675078	7675079	-
17	7675077	7675078	-
17	7675076	7675077	-
17	7675075	7675076	-
17	7675074	7675075	-
17	7675073	7675074	-
17	7675072	7675073	-
17	7675071	7675072	-
17	7675070	7675071	-
17	7675069	7675070	-
17	7675068	7675069	-
17	7675067	7675068	-
17	7675066	7675067	-
17	7675065	7675066	-
17	7675064	7675065	-
17	7675063	7675064	-
17	7675062	7675063	-
17	7675061	7675062	-
17	7675060	7675061	-
17	7675059	7675060	-
17	7675058	7675059	-
17	7675057	7675058	-
17	7675056	7675057	-
17	7675055	7675056	-
17	7675054	7675055	-
17	7675053	7675054	-
17	7675052	7675053	-
17	7674970	7674971	-
17	7674969	7674970	-
17	7674968	7674969	-
17	7674967	7674968	-
17	7674966	7674967	-
17	7674965	7674966	-
17	7674964	7674965	-
17	7674963	7674964	-
17	7674962	7674963	-
17	7674961	7674962	-
17	7674960	7674961	-
17	7674959	7674960	-
17	7674958	7674959	-
17	7674957	7674958	-
17	7674956	7674957	-
17	7674955	7674956	-
17	7674954	7674955	-
17	7674953	7674954	-
17	7674952	7674953	-
17	7674951	7674952	-
17	7674950	7674951	-
17	7674949	7674950	-
17	7674948	7674949	-
17	7674947	7674948	-
17	7674946	7674947	-
17	7674945	7674946	-
17	7674944	7674945	-
17	7674943	7674944	-
17	7674942	7674943	-
17	7674941	7674942	-
17	7674940	7674941	-
17	7674939	7674940	-
17	7674938	7674939	-
17	7674937	7674938	-
17	7674936	7674937	-
17	7674935	7674936	-
17	7674934	7674935	-
17	7674933	7674934	-
17	7674932	7674933	-
17	7674931	7674932	-
17	7674930	7674931	-
17	7674929	7674930	-
17	7674928	7674929	-
17	7674927	7674928	-
17	7674926	7674927	-
17	7674925	7674926	-
17	7674924	7674925	-
17	7674923	7674924	-
17	7674922	7674923	-
17	7674921	7674922	-
17	7674920	7674921	-
17	7674919	7674920	-
17	7674918	7674919	-
17	7674917	7674918	-
17	7674916	7674917	-
17	7674915	7674916	-
17	7674914	7674915	-
17	7674913	7674914	-
17	7674912	7674913	-
17	7674911	7674912	-
17	7674910	7674911	-
17	7674909	7674910	-
17	7674908	7674909	-
17	7674907	7674908	-
17	7674906	7674907	-
17	7674905	7674906	-
17	7674904	7674905	-
17	7674903	7674904	-
17	7674902	7674903	-
17	7674901	7674902	-
17	7674900	7674901	-
17	7674899	7674900	-
17	7674898	7674899	-
17	7674897	7674898	-
17	7674896	7674897	-
17	7674895	7674896	-
17	7674894	7674895	-
17	7674893	7674894	-
17	7674892	7674893	-
17	7674891	7674892	-
17	7674890	7674891	-
17	7674889	7674890	-
17	7674888	7674889	-
17	7674887	7674888	-
17	7674886	7674887	-
17	7674885	7674886	-
17	7674884	7674885	-
17	7674883	7674884	-
17	7674882	7674883	-
17	7674881	7674882	-
17	7674880	7674881	-
17	7674879	7674880	-
17	7674878	7674879	-
17	7674877	7674878	-
17	7674876	7674877	-
17	7674875	7674876	-
17	7674874	7674875	-
17	7674873	7674874	-
17	7674872	7674873	-
17	7674871	7674872	-
17	7674870	7674871	-
17	7674869	7674870	-
17	7674868	7674869	-
17	7674867	7674868	-
17	7674866	7674867	-
17	7674865	7674866	-
17	7674864	7674865	-
17	7674863	7674864	-
17	7674862	7674863	-
17	7674861	7674862	-
17	7674860	7674861	-
17	7674859	7674860	-
17	7674858	7674859	-
17	7674289	7674290	-
17	7674288	7674289	-
17	7674287	7674288	-
17	7674286	7674287	-
17	7674285	7674286	-
17	7674284	7674285	-
17	7674283	7674284	-
17	7674282	7674283	-
17	7674281	7674282	-
17	7674280	7674281	-
17	7674279	7674280	-
17	7674278	7674279	-
17	7674277	7674278	-
17	7674276	7674277	-
17	7674275	7674276	-
17	7674274	7674275	-
17	7674273	7674274	-
17	7674272	7674273	-
17	7674271	7674272	-
17	7674270	7674271	-
17	7674269	7674270	-
17	7674268	7674269	-
17	7674267	7674268	-
17	7674266	7674267	-
17	7674265	7674266	-
17	7674264	7674265	-
17	7674263	7674264	-
17	7674262	7674263	-
17	7674261	7674262	-
17	7674260	7674261	-
17	7674259	7674260	-
17	7674258	7674259	-
17	7674257	7674258	-
17	7674256	7674257	-
17	7674255	7674256	-
17	7674254	7674255	-
17	7674253	7674254	-
17	7674252	7674253	-
17	7674251	7674252	-
17	7674250	7674251	-
17	7674249	7674250	-
17	7674248	7674249	-
17	7674247	7674248	-
17	7674246	7674247	-
17	7674245	7674246	-
17	7674244	7674245	-
17	7674243	7674244	-
17	7674242	7674243	-
17	7674241	7674242	-
17	7674240	7674241	-
17	7674239	7674240	-
17	7674238	7674239	-
17	7674237	7674238	-
17	7674236	7674237	-
17	7674235	7674236	-
17	7674234	7674235	-
17	7674233	7674234	-
17	7674232	7674233	-
17	7674231	7674232	-
17	7674230	7674231	-
17	7674229	7674230	-
17	7674228	7674229	-
17	7674227	7674228	-
17	7674226	7674227	-
17	7674225	7674226	-
17	7674224	7674225	-
17	7674223	7674224	-
17	7674222	7674223	-
17	7674221	7674222	-
17	7674220	7674221	-
17	7674219	7674220	-
17	7674218	7674219	-
17	7674217	7674218	-
17	7674216	7674217	-
17	7674215	7674216	-
17	7674214	7674215	-
17	7674213	7674214	-
17	7674212	7674213	-
17	7674211	7674212	-
17	7674210	7674211	-
17	7674209	7674210	-
17	7674208	7674209	-
17	7674207	7674208	-
17	7674206	7674207	-
17	7674205	7674206	-
17	7674204	7674205	-
17	7674203	7674204	-
17	7674202	7674203	-
17	7674201	7674202	-
17	7674200	7674201	-
17	7674199	7674200	-
17	7674198	7674199	-
17	7674197	7674198	-
17	7674196	7674197	-
17	7674195	7674196	-
17	7674194	7674195	-
17	7674193	7674194	-
17	7674192	7674193	-
17	7674191	7674192	-
17	7674190	7674191	-
17	7674189	7674190	-
17	7674188	7674189	-
17	7674187	7674188	-
17	7674186	7674187	-
17	7674185	7674186	-
17	7674184	7674185	-
17	7674183	7674184	-
17	7674182	7674183	-
17	7674181	7674182	-
17	7674180	7674181	-
17	7673836	7673837	-
17	7673835	7673836	-
17	7673834	7673835	-
17	7673833	7673834	-
17	7673832	7673833	-
17	7673831	7673832	-
17	7673830	7673831	-
17	7673829	7673830	-
17	7673828	7673829	-
17	7673827	7673828	-
17	7673826	7673827	-
17	7673825	7673826	-
17	7673824	7673825	-
17	7673823	7673824	-
17	7673822	7673823	-
17	7673821	7673822	-
17	7673820	7673821	-
17	7673819	7673820	-
17	7673818	7673819	-
17	7673817	7673818	-
17	7673816	7673817	-
17	7673815	7673816	-
17	7673814	7673815	-
17	7673813	7673814	-
17	7673812	7673813	-
17	7673811	7673812	-
17	7673810	7673811	-
17	7673809	7673810	-
17	7673808	7673809	-
17	7673807	7673808	-
17	7673806	7673807	-
17	7673805	7673806	-
17	7673804	7673805	-
17	7673803	7673804	-
17	7673802	7673803	-
17	7673801	7673802	-
17	7673800	7673801	-
17	7673799	7673800	-
17	7673798	7673799	-
17	7673797	7673798	-
17	7673796	7673797	-
17	7673795	7673796	-
17	7673794	7673795	-
17	7673793	7673794	-
17	7673792	7673793	-
17	7673791	7673792	-
17	7673790	7673791	-
17	7673789	7673790	-
17	7673788	7673789	-
17	7673787	7673788	-
17	7673786	7673787	-
17	7673785	7673786	-
17	7673784	7673785	-
17	7673783	7673784	-
17	7673782	7673783	-
17	7673781	7673782	-
17	7673780	7673781	-
17	7673779	7673780	-
17	7673778	7673779	-
17	7673777	7673778	-
17	7673776	7673777	-
17	7673775	7673776	-
17	7673774	7673775	-
17	7673773	7673774	-
17	7673772	7673773	-
17	7673771	7673772	-
17	7673770	7673771	-
17	7673769	7673770	-
17	7673768	7673769	-
17	7673767	7673768	-
17	7673766	7673767	-
17	7673765	7673766	-
17	7673764	7673765	-
17	7673763	7673764	-
17	7673762	7673763	-
17	7673761	7673762	-
17	7673760	7673761	-
17	7673759	7673760	-
17	7673758	7673759	-
17	7673757	7673758	-
17	7673756	7673757	-
17	7673755	7673756	-
17	7673754	7673755	-
17	7673753	7673754	-
17	7673752	7673753	-
17	7673751	7673752	-
17	7673750	7673751	-
17	7673749	7673750	-
17	7673748	7673749	-
17	7673747	7673748	-
17	7673746	7673747	-
17	7673745	7673746	-
17	7673744	7673745	-
17	7673743	7673744	-
17	7673742	7673743	-
17	7673741	7673742	-
17	7673740	7673741	-
17	7673739	7673740	-
17	7673738	7673739	-
17	7673737	7673738	-
17	7673736	7673737	-
17	7673735	7673736	-
17	7673734	7673735	-
17	7673733	7673734	-
17	7673732	7673733	-
17	7673731	7673732	-
17	7673730	7673731	-
17	7673729	7673730	-
17	7673728	7673729	-
17	7673727	7673728	-
17	7673726	7673727	-
17	7673725	7673726	-
17	7673724	7673725	-
17	7673723	7673724	-
17	7673722	7673723	-
17	7673721	7673722	-
17	7673720	7673721	-
17	7673719	7673720	-
17	7673718	7673719	-
17	7673717	7673718	-
17	7673716	7673717	-
17	7673715	7673716	-
17	7673714	7673715	-
17	7673713	7673714	-
17	7673712	7673713	-
17	7673711	7673712	-
17	7673710	7673711	-
17	7673709	7673710	-
17	7673708	7673709	-
17	7673707	7673708	-
17	7673706	7673707	-
17	7673705	7673706	-
17	7673704	7673705	-
17	7673703	7673704	-
17	7673702	7673703	-
17	7673701	7673702	-
17	7673700	7673701	-
17	7673607	7673608	-
17	7673606	7673607	-
17	7673605	7673606	-
17	7673604	7673605	-
17	7673603	7673604	-
17	7673602	7673603	-
17	7673601	7673602	-
17	7673600	7673601	-
17	7673599	7673600	-
17	7673598	7673599	-
17	7673597	7673598	-
17	7673596	7673597	-
17	7673595	7673596	-
17	7673594	7673595	-
17	7673593	7673594	-
17	7673592	7673593	-
17	7673591	7673592	-
17	7673590	7673591	-
17	7673589	7673590	-
17	7673588	7673589	-
17	7673587	7673588	-
17	7673586	7673587	-
17	7673585	7673586	-
17	7673584	7673585	-
17	7673583	7673584	-
17	7673582	7673583	-
17	7673581	7673582	-
17	7673580	7673581	-
17	7673579	7673580	-
17	7673578	7673579	-
17	7673577	7673578	-
17	7673576	7673577	-
17	7673575	7673576	-
17	7673574	7673575	-
17	7673573	7673574	-
17	7673572	7673573	-
17	7673571	7673572	-
17	7673570	7673571	-
17	7673569	7673570	-
17	7673568	7673569	-
17	7673567	7673568	-
17	7673566	7673567	-
17	7673565	7673566	-
17	7673564	7673565	-
17	7673563	7673564	-
17	7673562	7673563	-
17	7673561	7673562	-
17	7673560	7673561	-
17	7673559	7673560	-
17	7673558	7673559	-
17	7673557	7673558	-
17	7673556	7673557	-
17	7673555	7673556	-
17	7673554	7673555	-
17	7673553	7673554	-
17	7673552	7673553	-
17	7673551	7673552	-
17	7673550	7673551	-
17	7673549	7673550	-
17	7673548	7673549	-
17	7673547	7673548	-
17	7673546	7673547	-
17	7673545	7673546	-
17	7673544	7673545	-
17	7673543	7673544	-
17	7673542	7673543	-
17	7673541	7673542	-
17	7673540	7673541	-
17	7673539	7673540	-
17	7673538	7673539	-
17	7673537	7673538	-
17	7673536	7673537	-
17	7673535	7673536	-
17	7673534	7673535	-
17	7670714	7670715	-
17	7670713	7670714	-
17	7670712	7670713	-
17	7670711	7670712	-
17	7670710	7670711	-
17	7670709	7670710	-
17	7670708	7670709	-
17	7670707	7670708	-
17	7670706	7670707	-
17	7670705	7670706	-
17	7670704	7670705	-
17	7670703	7670704	-
17	7670702	7670703	-
17	7670701	7670702	-
17	7670700	7670701	-
17	7670699	7670700	-
17	7670698	7670699	-
17	7670697	7670698	-
17	7670696	7670697	-
17	7670695	7670696	-
17	7670694	7670695	-
17	7670693	7670694	-
17	7670692	7670693	-
17	7670691	7670692	-
17	7670690	7670691	-
17	7670689	7670690	-
17	7670688	7670689	-
17	7670687	7670688	-
17	7670686	7670687	-
17	7670685	7670686	-
17	7670684	7670685	-
17	7670683	7670684	-
17	7670682	7670683	-
17	7670681	7670682	-
17	7670680	7670681	-
17	7670679	7670680	-
17	7670678	7670679	-
17	7670677	7670678	-
17	7670676	7670677	-
17	7670675	7670676	-
17	7670674	7670675	-
17	7670673	7670674	-
17	7670672	7670673	-
17	7670671	7670672	-
17	7670670	7670671	-
17	7670669	7670670	-
17	7670668	7670669	-
17	7670667	7670668	-
17	7670666	7670667	-
17	7670665	7670666	-
17	7670664	7670665	-
17	7670663	7670664	-
17	7670662	7670663	-
17	7670661	7670662	-
17	7670660	7670661	-
17	7670659	7670660	-
17	7670658	7670659	-
17	7670657	7670658	-
17	7670656	7670657	-
17	7670655	7670656	-
17	7670654	7670655	-
17	7670653	7670654	-
17	7670652	7670653	-
17	7670651	7670652	-
17	7670650	7670651	-
17	7670649	7670650	-
17	7670648	7670649	-
17	7670647	7670648	-
17	7670646	7670647	-
17	7670645	7670646	-
17	7670644	7670645	-
17	7670643	7670644	-
17	7670642	7670643	-
17	7670641	7670642	-
17	7670640	7670641	-
17	7670639	7670640	-
17	7670638	7670639	-
17	7670637	7670638	-
17	7670636	7670637	-
17	7670635	7670636	-
17	7670634	7670635	-
17	7670633	7670634	-
17	7670632	7670633	-
17	7670631	7670632	-
17	7670630	7670631	-
17	7670629	7670630	-
17	7670628	7670629	-
17	7670627	7670628	-
17	7670626	7670627	-
17	7670625	7670626	-
17	7670624	7670625	-
17	7670623	7670624	-
17	7670622	7670623	-
17	7670621	7670622	-
17	7670620	7670621	-
17	7670619	7670620	-
17	7670618	7670619	-
17	7670617	7670618	-
17	7670616	7670617	-
17	7670615	7670616	-
17	7670614	7670615	-
17	7670613	7670614	-
17	7670612	7670613	-
17	7670611	7670612	-
17	7670610	7670611	-
17	7670609	7670610	-
17	7670608	7670609	-
17	7669689	7669690	-
17	7669688	7669689	-
17	7669687	7669688	-
17	7669686	7669687	-
17	7669685	7669686	-
17	7669684	7669685	-
17	7669683	7669684	-
17	7669682	7669683	-
17	7669681	7669682	-
17	7669680	7669681	-
17	7669679	7669680	-
17	7669678	7669679	-
17	7669677	7669678	-
17	7669676	7669677	-
17	7669675	7669676	-
17	7669674	7669675	-
17	7669673	7669674	-
17	7669672	7669673	-
17	7669671	7669672	-
17	7669670	7669671	-
17	7669669	7669670	-
17	7669668	7669669	-
17	7669667	7669668	-
17	7669666	7669667	-
17	7669665	7669666	-
17	7669664	7669665	-
17	7669663	7669664	-
17	7669662	7669663	-
17	7669661	7669662	-
17	7669660	7669661	-
17	7669659	7669660	-
17	7669658	7669659	-
17	7669657	7669658	-
17	7669656	7669657	-
17	7669655	7669656	-
17	7669654	7669655	-
17	7669653	7669654	-
17	7669652	7669653	-
17	7669651	7669652	-
17	7669650	7669651	-
17	7669649	7669650	-
17	7669648	7669649	-
17	7669647	7669648	-
17	7669646	7669647	-
17	7669645	7669646	-
17	7669644	7669645	-
17	7669643	7669644	-
17	7669642	7669643	-
17	7669641	7669642	-
17	7669640	7669641	-
17	7669639	7669640	-
17	7669638	7669639	-
17	7669637	7669638	-
17	7669636	7669637	-
17	7669635	7669636	-
17	7669634	7669635	-
17	7669633	7669634	-
17	7669632	7669633	-
17	7669631	7669632	-
17	7669630	7669631	-
17	7669629	7669630	-
17	7669628	7669629	-
17	7669627	7669628	-
17	7669626	7669627	-
