pos	rel_pos
7674240	722
7674239	723
7674238	724
7674237	725
7674236	726
7674235	727
7674234	728
7674233	729
7674232	730
7674231	731
7674230	732
7674229	733
7674228	734
7674227	735
7674226	736
7674225	737
7674224	738
7674223	739
7674222	740
7674221	741
7674220	742
7674219	743
7674218	744
7674217	745
7674216	746
7674215	747
7674214	748
7674213	749
7674212	750
7674211	751
7674210	752
7674209	753
7674208	754
7674207	755
7674206	756
7674205	757
7674204	758
7674203	759
7674202	760
7674201	761
7674200	762
7674199	763
7674198	764
7674197	765
7674196	766
7674195	767
7674194	768
7674193	769
7674192	770
7674191	771
7674190	772
7674189	773
7674188	774
7674187	775
7674186	776
7674185	777
7674184	778
7674183	779
7674182	780
7674181	781
7674180	782
7673836	783
7673835	784
7673834	785
7673833	786
7673832	787
7673831	788
7673830	789
7673829	790
7673828	791
7673827	792
7673826	793
7673825	794
7673824	795
7673823	796
7673822	797
7673821	798
7673820	799
7673819	800
7673818	801
7673817	802
7673816	803
7673815	804
7673814	805
7673813	806
7673812	807
7673811	808
7673810	809
7673809	810
7673808	811
7673807	812
7673806	813
7673805	814
7673804	815
7673803	816
7673802	817
7673801	818
7673800	819
7673799	820
7673798	821
7673797	822
7673796	823
7673795	824
7673794	825
7673793	826
7673792	827
7673791	828
7673790	829
7673789	830
7673788	831
7673787	832
7673786	833
7673785	834
7673784	835
7673783	836
7673782	837
7673781	838
7673780	839
7673779	840
7673778	841
7673777	842
7673776	843
7673775	844
7673774	845
7673773	846
7673772	847
7673771	848
7673770	849
7673769	850
7673768	851
7673767	852
7673766	853
7673765	854
7673764	855
7673763	856
7673762	857
7673761	858
7673760	859
7673759	860
7673758	861
7673757	862
7673756	863
7673755	864
7673754	865
7673753	866
7673752	867
7673751	868
7673750	869
7673749	870
7673748	871
7673747	872
7673746	873
7673745	874
7673744	875
7673743	876
7673742	877
7673741	878
7673740	879
7673739	880
7673738	881
7673737	882
7673736	883
7673735	884
7673734	885
7673733	886
7673732	887
7673731	888
7673730	889
7673729	890
7673728	891
7673727	892
7673726	893
7673725	894
7673724	895
7673723	896
7673722	897
7673721	898
7673720	899
7673719	900
7673718	901
7673717	902
7673716	903
7673715	904
7673714	905
7673713	906
7673712	907
7673711	908
7673710	909
7673709	910
7673708	911
7673707	912
7673706	913
7673705	914
7673704	915
7673703	916
7673702	917
7673701	918
7673700	919
7673607	920
7673606	921
7673605	922
7673604	923
7673603	924
7673602	925
7673601	926
7673600	927
7673599	928
7673598	929
7673597	930
7673596	931
7673595	932
7673594	933
7673593	934
7673592	935
7673591	936
7673590	937
7673589	938
7673588	939
7673587	940
7673586	941
7673585	942
7673584	943
7673583	944
7673582	945
7673581	946
7673580	947
7673579	948
7673578	949
7673577	950
7673576	951
7673575	952
7673574	953
7673573	954
7673572	955
7673571	956
7673570	957
7673569	958
7673568	959
7673567	960
7673566	961
7673565	962
7673564	963
7673563	964
7673562	965
7673561	966
7673560	967
7673559	968
7673558	969
7673557	970
7673556	971
7673555	972
7673554	973
7673553	974
7673552	975
7673551	976
7673550	977
7673549	978
7673548	979
7673547	980
7673546	981
7673545	982
7673544	983
7673543	984
7673542	985
7673541	986
7673540	987
7673539	988
7673538	989
7673537	990
7673536	991
7673535	992
7673534	993
7670714	994
7670713	995
7670712	996
7670711	997
7670710	998
7670709	999
7670708	1000
7670707	1001
7670706	1002
7670705	1003
7670704	1004
7670703	1005
7670702	1006
7670701	1007
7670700	1008
7670699	1009
7670698	1010
7670697	1011
7670696	1012
7670695	1013
7670694	1014
7670693	1015
7670692	1016
7670691	1017
7670690	1018
7670689	1019
7670688	1020
7670687	1021
7670686	1022
7670685	1023
7670684	1024
7670683	1025
7670682	1026
7670681	1027
7670680	1028
7670679	1029
7670678	1030
7670677	1031
7670676	1032
7670675	1033
7670674	1034
7670673	1035
7670672	1036
7670671	1037
7670670	1038
7670669	1039
7670668	1040
7670667	1041
7670666	1042
7670665	1043
7670664	1044
7670663	1045
7670662	1046
7670661	1047
7670660	1048
7670659	1049
7670658	1050
7670657	1051
7670656	1052
7670655	1053
7670654	1054
7670653	1055
7670652	1056
7670651	1057
7670650	1058
7670649	1059
7670648	1060
7670647	1061
7670646	1062
7670645	1063
7670644	1064
7670643	1065
7670642	1066
7670641	1067
7670640	1068
7670639	1069
7670638	1070
7670637	1071
7670636	1072
7670635	1073
7670634	1074
7670633	1075
7670632	1076
7670631	1077
7670630	1078
7670629	1079
7670628	1080
7670627	1081
7670626	1082
7670625	1083
7670624	1084
7670623	1085
7670622	1086
7670621	1087
7670620	1088
7670619	1089
7670618	1090
7670617	1091
7670616	1092
7670615	1093
7670614	1094
7670613	1095
7670612	1096
7670611	1097
7670610	1098
7670609	1099
7670608	1100
7669689	1101
7669688	1102
7669687	1103
7669686	1104
7669685	1105
7669684	1106
7669683	1107
7669682	1108
7669681	1109
7669680	1110
7669679	1111
7669678	1112
7669677	1113
7669676	1114
7669675	1115
7669674	1116
7669673	1117
7669672	1118
7669671	1119
7669670	1120
7669669	1121
7669668	1122
7669667	1123
7669666	1124
7669665	1125
7669664	1126
7669663	1127
7669662	1128
7669661	1129
7669660	1130
7669659	1131
7669658	1132
7669657	1133
7669656	1134
7669655	1135
7669654	1136
7669653	1137
7669652	1138
7669651	1139
7669650	1140
7669649	1141
7669648	1142
7669647	1143
7669646	1144
7669645	1145
7669644	1146
7669643	1147
7669642	1148
7669641	1149
7669640	1150
7669639	1151
7669638	1152
7669637	1153
7669636	1154
7669635	1155
7669634	1156
7669633	1157
7669632	1158
7669631	1159
7669630	1160
7669629	1161
7669628	1162
7669627	1163
7669626	1164
7669625	1165
7669624	1166
7669623	1167
7669622	1168
7669621	1169
7669620	1170
7669619	1171
7669618	1172
7669617	1173
7669616	1174
7669615	1175
7669614	1176
7669613	1177
7669612	1178
7669611	1179
